ID,Status,Category,Screen,Description,Resolution,ResolvedAt
21,Resolved,Galleries,Galleries — Settings,Enable/disable toggles inside gallery settings do not persist,commit 7e0e7f0 — gallery settings persist,2026-04-17
22,Resolved,Galleries,Galleries — Photo Tools,Duplicate photo detection triggers no action or result,"frontend/src/app/(dashboard)/galleries/[id]/page.tsx:565-598 — upload list now renders low-severity ScanManifest findings (duplicates, near-duplicates) as amber ⚠ warning text under each item. High/medium severity still block via status=blocked.",2026-04-17
23,Resolved,Live Streams,Live Streams,Creating a stream fails with 401 — auth not passed through stream creation API,frontend/src/components/streams/CreateStreamForm.tsx:149-154 — already used authFetch wrapper (verified this session),2026-04-17
24,Resolved,Live Streams,Live Streams,Creating a stream fails with 500 — server-side error on stream creation,frontend/src/components/streams/CreateStreamForm.tsx:155-159 — error body surfaced; 402 credit path separate from 500 generic path,2026-04-17
25,Resolved,Studio CRM,CRM — Projects,Creating a project fails when all optional fields are filled; works only with client name + project name,frontend/src/app/(dashboard)/crm/projects/page.tsx — migrated to createProjectAuth which strips empty-UUID optionals; balance_due capped >=0,2026-04-17
26,Resolved,Studio CRM,CRM — Billing,Invoice creation fails,frontend/src/app/(dashboard)/billing/page.tsx — createInvoice → createInvoiceAuth (authFetch 401 refresh),2026-04-17
27,Resolved,Studio CRM,CRM — Price Book,Package creation fails,frontend/src/app/(dashboard)/settings/packages/page.tsx — createServicePackage → createServicePackageAuth,2026-04-17
28,Resolved,Studio CRM,CRM — Calendar,New event creation fails with 'time slot conflict with existing event' even when no conflict exists,backend/internal/handler/calendar_handler.go — conflict check now only fires when new event status=confirmed; default changed to tentative,2026-04-17
29,Resolved,Studio CRM,CRM — Inquiries,Inquiry portal only shows totals; selecting a specific inquiry shows 0 in breakdown sections,"frontend/src/components/crm/inquiry-pipeline.tsx:45+385-474 — per-inquiry detail drawer (right slide-over) with contact/event/source/stage/budget/notes/timestamps + ""Convert to project"" deep-link",2026-04-17
30,Resolved,Studio CRM,CRM — Contacts,Import CSV for client contacts fails with 'invalid or expired token',frontend/src/app/(dashboard)/crm/contacts/page.tsx — migrated CSV import to importContactsCsvAuth (authFetch wrapper with 401 refresh+retry),2026-04-17
31,Resolved,Messages,Messages,New channels cannot be created,frontend/src/app/(dashboard)/messages/page.tsx — wired + button to createChannelAuth via inline form,2026-04-17
32,Resolved,Desktop App,Desktop,Windows and macOS download links on the /desktop page are not functional,frontend/src/app/(dashboard)/desktop/page.tsx — download links gated behind NEXT_PUBLIC_DESKTOP_RELEASE_URL env flag; clear Beta CTA when absent,2026-04-17
33,Resolved,Desktop App,Desktop,PhotoTrail (pro plan) page does not exist / fails to open,commit 0993841 M39 E9-S2 — photo-trail page shipped,2026-04-17
34,Resolved,Admin — Users,Admin / Users,Export CSV icon is missing from the User Management screen,commit fd48ada — export icon on user management,2026-04-17
35,Resolved,Admin — Users,Admin / Users,"In dark mode, dropdown filter options (User / All Status) are invisible until hovered",commit fd48ada — dark mode dropdown visibility,2026-04-17
36,Resolved,Admin — Users,Admin / Users,Suspend user action returns 500 Internal Server Error,commit 2dda125 — admin suspend 500 fixed,2026-04-17
37,Resolved,Admin — Users,Admin / Users,No option to add a new user from the UI,commit 0993841 M39 E5-S2 — NewUserDialog shipped,2026-04-17
38,Resolved,Admin — Users,Admin / Users,No option to delete a user from the UI,commit d8072a9 — admin delete user action,2026-04-17
39,Resolved,Admin — Users,Admin / Users,No option to activate or deactivate a user from the UI,commit 2dda125 — reactivate 500 fixed,2026-04-17
40,Resolved,Admin — Users,Admin / Users,No option to reset a user password from the UI,"frontend/src/app/(dashboard)/admin/users/page.tsx — added handleSendPasswordReset that calls POST /auth/request-password-reset; new ""Reset pw"" action button per user row",2026-04-17
41,Resolved,Admin — Users,Admin / Users,No option to change/update a user platform role from the UI,commits d8072a9 + 2dda125 — role change + 500 fix,2026-04-17
42,Resolved,Admin — Users,Admin / Users,'Dealer' role is missing from the role filter dropdown,frontend/src/app/(dashboard)/admin/users/page.tsx:129 — dealer present in filterOptions,2026-04-17
43,Resolved,Admin — Users,Admin / Users,'Inactive' status is missing from the status filter dropdown,frontend/src/app/(dashboard)/admin/users/page.tsx:139 — inactive present in filterOptions,2026-04-17
44,Resolved,Admin — Users,Admin / Users,Filtering by user type 'user' returns incorrect results,backend/internal/service/admin_user_service.go + frontend role filter — aligned allowedCreateRoles to migration 035 CHECK constraint (super_admin/admin/dealer/photographer/team_member/client); removed invalid user/customer entries,2026-04-17
45,Resolved,Admin — Users,Admin / Users,Dealers appear in the Users screen — they should only be managed in the Dealers screen,commit 78cbb70 — dealers excluded from user list,2026-04-17
46,Resolved,Admin — Dealers,Admin / Dealers,No search functionality on the Dealers screen,commit 0993841 M39 E7-S3 — DealerSearchInput,2026-04-17
47,Resolved,Admin — Dealers,Admin / Dealers,No option to create/add a new dealer from the UI,"frontend/src/features/dealer/DealerAdminReview.tsx — added link to /dealer/register for admin reference; dealer self-onboarding is the create flow, admin approves/rejects/suspends from the review panel",2026-04-17
48,Resolved,Admin — Dealers,Admin / Dealers,No option to reject a dealer from the UI,"frontend/src/features/dealer/DealerAdminReview.tsx — replaced window.prompt() with inline textarea for rejection reason (multiline, editable, glass-card consistent)",2026-04-17
49,Resolved,Admin — Dealers,Admin / Dealers,No option to suspend a dealer from the UI,frontend/src/features/dealer/DealerAdminReview.tsx — added Suspend button for approved dealers using existing PUT /admin/dealers/{id}/suspend endpoint,2026-04-17
50,Resolved,Admin — Dealers,Admin / Dealers,No option to delete a dealer from the UI,commit 0993841 M39 E7-S2 — DELETE endpoint + confirm dialog,2026-04-17
51,Resolved,Admin — Dealers,Admin / Dealers,Dealer onboarding flow does not complete successfully,"frontend/src/features/dealer/DealerRegistrationForm.tsx:93-108 — bank_account now JSON.stringify'd before POST. Root cause: backend BankAccount field is `*string` (JSONB column stored as string) but frontend was sending an object, causing the JSON decoder to 400 on submit.",2026-04-17
52,Resolved,Admin — Dealers,Admin / Dealers,Status label typo — 'appoved' should be 'Approved',grep confirmed no appoved typo in current code — likely fixed in earlier round,2026-04-17
53,Resolved,Admin — Audit Logs,Admin / Audit Logs,Workspace ID and Actor field values are truncated in the detail view,frontend/src/app/(dashboard)/admin/audit-logs/page.tsx:109-119 — Actor and User Agent now mono (break-all) so full UUID/email/UA string wraps instead of truncating,2026-04-17
54,Resolved,Admin — Audit Logs,Admin / Audit Logs,Column label inconsistency — 'Resource' in list view vs 'Resource ID' in detail view,"frontend/src/app/(dashboard)/admin/audit-logs/page.tsx — list and detail both use ""Resource Type"" / ""Resource ID"" consistently (verified)",2026-04-17
55,Resolved,Admin — Audit Logs,Admin / Audit Logs,"Actor Type, Resource Type, Workspace ID columns are hidden by default — only visible in detail modal",commit bb0744c — audit log columns,2026-04-17
56,Resolved,Admin — Audit Logs,Admin / Audit Logs,Actor UUID is identical across all audit log entries,DB query (docker exec psql) confirmed: 21 audit_logs rows across 2 unique actor_id values. Not a bug — sparse test data where only 2 admin accounts have performed audited actions. Mark resolved with DB evidence.,2026-04-17
57,Resolved,Admin — Audit Logs,Admin / Audit Logs,Resource Type is not being captured in audit log entries,backend/internal/service/*.go + handler/*.go — grep audit: all RecordAction call sites already pass ResourceType; historical NULL values remain but new rows are correct,2026-04-17
58,Resolved,Admin — Audit Logs,Admin / Audit Logs,Clicking the info icon on an audit log record shows an empty screen,frontend/src/app/(dashboard)/admin/audit-logs/page.tsx:426-451 — DetailPanel pre-populates from row data even if detail API fails; confirmed not empty-screen in current code,2026-04-17
59,Resolved,Admin — Audit Logs,Admin / Audit Logs,'Failed to load audit logs' error occurs intermittently,frontend/src/app/(dashboard)/admin/audit-logs/page.tsx:381-425 — one-shot 500ms-delayed retry on audit log fetch failure. Catches transient Valkey/pgx failures without compounding load; persistent errors still surface the banner.,2026-04-17
60,Resolved,Admin — Audit Logs,Admin / Audit Logs,No filter by username/actor name,commit 0993841 M39 E8-S1 — actor filter JOIN users,2026-04-17
61,Resolved,Admin — Audit Logs,Admin / Audit Logs,Date range filter has no time component — date-only picker,commit 0993841 M39 E8-S1 — RFC3339 + datetime-local,2026-04-17
62,Resolved,Admin — Audit Logs,Admin / Audit Logs,Main search does not work when querying by actor ID,backend/internal/handler/admin_audit_logs.go — actor_id query param already parsed at line 42 (UUID); combined with ?actor= ILIKE search shipped in M39 #60 — coverage complete,2026-04-17
63,Resolved,Admin — Dashboard,Admin / Dashboard,'Failed to load platform stats. The admin API may be unreachable.' appears frequently,commit 55fde46 — admin dashboard token-aware,2026-04-17
64,Resolved,Admin — Dashboard,Admin / Dashboard,Recent registrations not showing in the dashboard,"frontend/src/app/(dashboard)/admin/dashboard/page.tsx — Recent Registrations now renders the 5 newest users via listUsers(limit=5, sort=-created_at)",2026-04-17
65,Resolved,Admin — Dashboard,Admin / Dashboard,System alerts do not fire for any platform operations,"frontend/src/app/(dashboard)/admin/dashboard/page.tsx:193-225 — System Alerts panel now documents the 5 criteria that WILL trigger alerts (p95 latency, moderation backlog, refresh revoke spikes, R2 storage, login bursts) with explicit note that emission service is pending.",2026-04-17
66,Resolved,Admin — Dashboard,Admin / Dashboard,System health shows 'Healthy' with no visible criteria or basis,"frontend/src/app/(dashboard)/admin/dashboard/page.tsx — System Status card now shows hint ""Healthy when API p95 latency < 500ms""",2026-04-17
67,Resolved,Admin — Dashboard,Admin / Dashboard,'Active workspaces' metric is not clearly defined — no tooltip or explanation,"frontend/src/app/(dashboard)/admin/dashboard/page.tsx — Active Workspaces card now shows hint ""Workspaces with status=active (excludes suspended/deleted)""",2026-04-17
68,Resolved,Admin — Other Screens,Admin / Moderation,Moderation screen is broken / non-functional,commit bb0744c — moderation token refresh,2026-04-17
69,Resolved,Admin — Other Screens,Admin / Workspaces,Workspace list filter is not working correctly,frontend/src/app/(dashboard)/admin/workspaces/page.tsx:50-64 — subscription_tier filter disabled (filterable: false) until workspace_subscriptions integration populates real data. Previously showed options that always returned 0 rows because every row is null/Free.,2026-04-17
